Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,169.40,168.80,169.50,+169.40,5,"6,341",879.36%,"13:08 ET",0.50,Put,0.01,0.00,0.01,unch,0,"3,733",0.00%,09/05/25
Call,168.65,168.45,168.95,+2.58,2,"1,872",481.32%,"10:23 ET",1.00,Put,0.01,0.00,0.01,unch,0,"1,650",0.00%,07/18/25
Call,169.74,166.75,168.75,unch,0,658,0.01%,09/03/25,1.50,Put,0.01,0.00,0.01,unch,0,31,0.00%,08/01/25
Call,164.49,166.25,168.15,unch,0,583,0.01%,09/05/25,2.00,Put,0.00,0.00,0.01,unch,0,141,0.00%,N/A
Call,175.25,165.80,167.75,unch,0,109,0.01%,08/25/25,2.50,Put,0.01,0.00,0.01,unch,0,362,0.00%,06/18/25
Call,170.44,165.30,167.75,unch,0,49,0.01%,08/29/25,3.00,Put,0.01,0.00,0.01,unch,0,"1,300",0.00%,09/05/25
Call,170.00,164.80,167.75,unch,0,7,359.21%,08/29/25,3.50,Put,0.00,0.00,0.01,unch,0,32,0.00%,N/A
Call,164.27,164.30,167.25,unch,0,5,342.45%,09/02/25,4.00,Put,0.01,0.00,0.01,unch,0,"6,221",0.00%,08/19/25
Call,0.00,163.80,166.75,unch,0,2,328.00%,N/A,4.50,Put,0.00,0.00,0.01,unch,0,"5,682",0.00%,N/A
Call,162.08,163.40,165.55,unch,0,207,0.01%,09/05/25,5.00,Put,0.01,0.00,0.01,unch,0,"3,308",0.00%,08/20/25
Call,0.00,162.80,165.40,unch,0,1,247.11%,N/A,5.50,Put,0.01,0.00,0.01,unch,0,53,0.00%,08/27/25
Call,0.00,162.30,165.30,unch,0,13,298.79%,N/A,6.00,Put,0.00,0.00,0.01,unch,0,"5,665",0.00%,N/A
Call,173.74,161.85,164.80,unch,0,75,293.97%,08/15/25,6.50,Put,0.00,0.00,0.01,unch,0,10,0.00%,N/A
Call,0.00,161.35,164.30,unch,0,12,285.24%,N/A,7.00,Put,0.00,0.00,0.01,unch,0,99,0.00%,N/A
Call,161.80,160.85,163.80,unch,0,223,277.19%,09/02/25,7.50,Put,0.01,0.00,0.01,unch,0,"3,401",0.00%,07/01/25
Call,149.43,160.35,163.30,unch,0,47,269.71%,06/27/25,8.00,Put,0.01,0.00,0.01,unch,0,168,0.00%,07/03/25
Call,132.00,159.85,162.80,unch,0,165,262.73%,06/03/25,8.50,Put,0.00,0.00,0.01,unch,0,54,0.00%,N/A
Call,165.85,159.35,162.30,unch,0,16,256.19%,08/21/25,9.00,Put,0.00,0.00,0.01,unch,0,319,0.00%,N/A
Call,0.00,158.85,161.85,unch,0,13,253.94%,N/A,9.50,Put,0.00,0.00,0.01,unch,0,311,0.00%,N/A
Call,172.22,158.45,161.25,unch,0,71,248.08%,08/11/25,10.00,Put,0.01,0.00,0.01,unch,0,"4,772",0.00%,07/16/25
Call,0.00,157.90,160.85,unch,0,10,246.13%,N/A,10.50,Put,0.02,0.00,0.01,unch,0,326,0.00%,07/17/25
Call,0.00,157.40,160.35,unch,0,14,240.82%,N/A,11.00,Put,0.02,0.00,0.01,unch,0,669,0.00%,05/29/25
Call,0.00,156.90,159.85,unch,0,1,235.76%,N/A,11.50,Put,0.01,0.00,0.01,unch,0,"1,113",0.00%,06/24/25
Call,165.68,156.40,159.35,unch,0,79,230.94%,08/22/25,12.00,Put,0.01,0.00,0.01,unch,0,"1,545",0.00%,06/10/25
Call,0.00,155.90,158.85,unch,0,51,226.32%,N/A,12.50,Put,0.00,0.00,0.01,unch,0,110,0.00%,N/A
Call,0.00,155.40,158.40,unch,0,0,225.16%,N/A,13.00,Put,0.01,0.00,0.01,unch,0,"1,204",0.00%,06/10/25
Call,156.16,154.90,157.90,unch,0,815,220.89%,07/23/25,13.50,Put,0.01,0.00,0.01,unch,0,"6,960",0.00%,08/25/25
Call,149.88,154.40,157.40,unch,0,251,216.78%,07/10/25,14.00,Put,0.01,0.00,0.01,unch,0,"4,012",0.00%,08/12/25
Call,0.00,153.95,156.90,unch,0,215,215.86%,N/A,14.50,Put,0.03,0.00,0.01,unch,0,"7,231",0.00%,05/28/25
Call,156.89,153.50,156.30,unch,0,876,209.01%,09/03/25,15.00,Put,0.01,0.00,0.01,unch,0,"5,770",0.00%,08/07/25
Call,154.75,152.95,155.90,unch,0,572,208.34%,09/02/25,15.50,Put,0.00,0.00,0.01,unch,0,"1,388",0.00%,N/A
Call,158.50,153.25,154.60,unch,0,"1,666",204.76%,07/25/25,16.00,Put,0.01,0.00,0.01,unch,0,"7,530",0.00%,07/02/25
Call,0.00,151.95,154.90,unch,0,201,201.29%,N/A,16.50,Put,0.00,0.00,0.01,unch,0,"6,039",0.00%,N/A
Call,0.00,151.45,153.65,unch,0,259,0.01%,N/A,17.00,Put,0.01,0.00,0.01,unch,0,"2,824",0.00%,08/12/25
Call,117.97,150.95,153.95,unch,0,310,197.49%,05/28/25,17.50,Put,0.02,0.00,0.01,unch,0,"1,809",0.00%,07/29/25
Call,163.52,150.45,153.45,unch,0,"1,086",194.32%,08/26/25,18.00,Put,0.01,0.00,0.01,unch,0,"3,666",0.00%,08/22/25
Call,151.75,150.75,152.20,+151.75,48,"4,868",216.20%,"11:33 ET",18.50,Put,0.03,0.00,0.01,unch,0,"3,325",0.00%,08/07/25
Call,154.49,149.50,152.45,unch,0,"1,064",190.88%,07/17/25,19.00,Put,0.01,0.00,0.01,unch,0,"19,801",0.00%,09/05/25
Call,162.32,149.00,151.95,unch,0,"1,044",187.95%,08/27/25,19.50,Put,0.01,0.00,0.01,unch,0,"5,728",0.00%,06/16/25
Call,150.08,149.35,150.65,+150.08,12,"4,618",194.72%,"14:43 ET",20.00,Put,0.01,0.00,0.01,unch,0,"16,992",0.00%,09/02/25
Call,120.13,148.00,151.00,unch,0,668,184.81%,05/29/25,20.50,Put,0.01,0.00,0.01,+0.01,1,"2,056",129.28%,"11:37 ET"
Call,124.98,147.50,150.50,unch,0,840,182.10%,06/18/25,21.00,Put,0.01,0.00,0.01,unch,0,"2,805",0.00%,09/04/25
Call,149.24,147.75,149.40,+149.24,25,"1,574",224.15%,"09:56 ET",21.50,Put,0.02,0.00,0.01,unch,0,"1,690",0.00%,06/11/25
Call,147.64,147.30,148.70,unch,0,"1,866",176.85%,09/03/25,22.00,Put,0.01,0.00,0.01,unch,0,"3,542",0.00%,08/11/25
Call,156.36,146.55,149.00,unch,0,421,195.07%,07/29/25,22.50,Put,0.01,0.00,0.01,unch,0,"3,004",0.00%,08/27/25
Call,150.94,145.55,148.50,unch,0,"1,547",174.20%,07/17/25,23.00,Put,0.01,0.00,0.01,unch,0,"4,489",0.00%,08/19/25
Call,0.00,145.05,148.00,unch,0,914,171.78%,N/A,23.50,Put,0.01,0.00,0.01,unch,0,"1,797",0.00%,09/05/25
Call,157.42,145.35,146.70,unch,0,"2,525",169.40%,08/27/25,24.00,Put,0.04,0.00,0.01,unch,0,"2,737",0.00%,06/02/25
Call,149.58,144.05,147.05,unch,0,"1,195",169.31%,07/24/25,24.50,Put,0.01,0.00,0.01,unch,0,"1,810",0.00%,08/22/25
Call,142.60,144.40,145.65,unch,0,"5,531",164.79%,09/05/25,25.00,Put,0.01,0.00,0.01,unch,0,"23,562",0.00%,09/04/25
Call,148.61,143.05,146.05,unch,0,"1,365",164.80%,07/24/25,25.50,Put,0.00,0.00,0.01,unch,0,"3,618",0.00%,N/A
Call,144.14,143.35,144.70,+144.14,1,"1,582",169.73%,"11:46 ET",26.00,Put,0.01,0.00,0.01,unch,0,"5,552",0.00%,09/05/25
Call,158.00,142.10,145.05,unch,0,"1,556",162.57%,08/28/25,26.50,Put,0.01,0.00,0.01,unch,0,"1,205",0.00%,07/16/25
Call,155.11,142.40,143.75,unch,0,"1,952",160.46%,08/26/25,27.00,Put,0.03,0.00,0.01,unch,0,839,0.00%,06/25/25
Call,155.00,141.90,143.25,unch,0,"2,368",158.39%,08/08/25,27.50,Put,0.01,0.00,0.01,unch,0,"2,186",0.00%,09/04/25
Call,154.45,141.40,142.75,unch,0,"4,963",156.35%,08/26/25,28.00,Put,0.01,0.00,0.01,unch,0,"22,599",0.00%,08/27/25
Call,151.30,140.10,143.10,unch,0,"1,549",156.38%,07/30/25,28.50,Put,0.01,0.00,0.01,unch,0,"1,624",0.00%,08/27/25
Call,145.10,140.40,141.75,unch,0,"1,795",152.37%,08/29/25,29.00,Put,0.01,0.00,0.01,unch,0,"2,089",0.00%,08/04/25
Call,136.65,139.10,142.10,unch,0,"1,398",152.48%,09/05/25,29.50,Put,0.01,0.00,0.01,+0.01,12,973,107.03%,"14:40 ET"
Call,139.80,139.45,140.85,+3.05,1,"9,893",154.33%,"14:57 ET",30.00,Put,0.01,0.00,0.01,unch,90,"9,897",106.02%,"14:13 ET"
Call,136.00,138.95,140.30,unch,0,"2,142",150.63%,09/05/25,30.50,Put,0.01,0.00,0.02,+0.01,1,"2,815",105.02%,"11:38 ET"
Call,140.80,138.45,139.85,unch,0,"3,524",150.63%,09/03/25,31.00,Put,0.01,0.00,0.02,unch,0,"8,968",0.00%,08/28/25
Call,138.96,138.20,139.10,unch,0,595,148.82%,09/02/25,31.50,Put,0.01,0.00,0.02,+0.01,4,"2,259",103.07%,"14:44 ET"
Call,149.75,136.65,139.65,unch,0,891,147.04%,08/26/25,32.00,Put,0.01,0.00,0.02,+0.01,7,"6,900",102.11%,"13:03 ET"
Call,141.95,136.95,138.35,unch,0,"2,017",145.29%,08/01/25,32.50,Put,0.01,0.00,0.02,unch,0,"12,513",0.00%,08/26/25
Call,141.50,135.65,138.65,unch,0,947,143.56%,07/17/25,33.00,Put,0.01,0.00,0.02,+0.01,1,"22,089",100.26%,"11:21 ET"
Call,133.40,136.20,137.35,unch,0,"1,811",149.86%,09/05/25,33.50,Put,0.02,0.00,0.02,unch,0,"1,162",0.00%,09/03/25
Call,133.44,134.65,137.40,unch,0,"1,155",129.14%,09/05/25,34.00,Put,0.01,0.00,0.02,+0.01,1,"11,808",98.46%,"11:43 ET"
Call,109.00,134.20,136.70,unch,0,817,116.61%,06/06/25,34.50,Put,0.02,0.00,0.02,unch,0,"5,237",0.00%,08/28/25
Call,130.00,134.70,135.80,unch,0,"2,420",143.47%,09/05/25,35.00,Put,0.01,0.00,0.02,unch,1,"13,298",96.71%,"11:44 ET"
Call,138.53,134.00,135.35,unch,0,"2,223",137.04%,07/17/25,35.50,Put,0.03,0.00,0.02,unch,0,"11,209",0.00%,08/28/25
Call,134.74,133.50,134.85,+134.74,25,"1,803",162.06%,"10:34 ET",36.00,Put,0.01,0.00,0.02,unch,0,"4,427",0.00%,08/26/25
Call,0.00,133.00,134.40,unch,0,"2,793",135.59%,N/A,36.50,Put,0.01,0.00,0.02,unch,0,"11,923",0.00%,09/05/25
Call,144.97,132.50,133.90,unch,0,"2,973",134.04%,08/27/25,37.00,Put,0.01,0.00,0.02,unch,0,"6,291",0.00%,09/05/25
Call,133.07,132.00,133.40,+133.07,1,"2,452",151.02%,"13:16 ET",37.50,Put,0.01,0.00,0.02,unch,0,"4,766",0.00%,08/29/25
Call,129.55,131.50,132.90,unch,0,"2,556",131.01%,09/05/25,38.00,Put,0.01,0.01,0.02,+0.01,69,"4,921",91.78%,"14:11 ET"
Call,101.84,131.05,132.35,unch,0,"1,892",129.52%,05/29/25,38.50,Put,0.03,0.00,0.02,unch,0,"1,309",0.00%,08/27/25
Call,141.16,130.55,131.95,unch,0,"7,501",131.25%,08/25/25,39.00,Put,0.01,0.00,0.02,+0.01,30,783,90.22%,"14:16 ET"
Call,130.68,130.05,131.45,+130.68,109,"5,753",125.18%,"14:01 ET",39.50,Put,0.02,0.01,0.02,unch,0,915,92.57%,08/26/25
Call,125.50,129.55,130.90,unch,0,"6,305",126.81%,09/05/25,40.00,Put,0.01,0.01,0.02,unch,15,"18,599",88.70%,"10:20 ET"
Call,141.83,128.55,129.95,unch,0,"4,491",125.57%,08/27/25,41.00,Put,0.01,0.01,0.02,-0.01,131,"3,677",87.23%,"10:53 ET"
Call,0.00,127.25,130.25,unch,0,"1,127",124.19%,N/A,41.50,Put,0.01,0.01,0.02,-0.01,130,"1,537",86.50%,"10:53 ET"
Call,133.00,127.60,128.95,unch,0,"5,109",124.33%,08/20/25,42.00,Put,0.03,0.01,0.02,unch,0,"2,474",88.78%,08/26/25
Call,140.10,126.45,129.30,unch,0,"1,406",128.36%,08/25/25,42.50,Put,0.02,0.01,0.02,unch,0,"9,592",88.05%,09/05/25
Call,125.05,126.60,127.95,unch,0,"7,757",121.65%,09/05/25,43.00,Put,0.02,0.01,0.02,unch,0,"17,534",87.32%,09/04/25
Call,123.88,126.10,127.10,unch,0,"3,665",106.55%,09/05/25,43.50,Put,0.02,0.01,0.02,unch,0,935,86.61%,09/04/25
Call,121.40,125.60,127.00,unch,0,"4,250",120.49%,09/05/25,44.00,Put,0.02,0.01,0.02,unch,0,"1,547",85.90%,09/04/25
Call,122.90,125.10,126.50,unch,0,"1,696",119.20%,09/05/25,44.50,Put,0.02,0.01,0.02,+0.02,2,"1,560",87.41%,"11:46 ET"
Call,122.65,124.75,125.65,unch,0,"5,337",111.42%,09/05/25,45.00,Put,0.02,0.02,0.03,+0.02,1,"10,491",86.71%,"11:44 ET"
Call,135.25,124.15,125.50,unch,0,"3,219",118.07%,08/15/25,45.50,Put,0.02,0.02,0.03,+0.02,13,920,86.01%,"14:41 ET"
Call,131.76,123.65,125.00,unch,0,"2,290",116.82%,08/22/25,46.00,Put,0.01,0.02,0.03,+0.01,10,"5,085",87.09%,"10:02 ET"
Call,136.11,123.15,124.55,unch,0,"1,782",116.93%,08/26/25,46.50,Put,0.03,0.02,0.03,unch,0,"5,430",86.40%,09/05/25
Call,129.04,122.65,124.05,unch,0,"2,815",115.72%,08/21/25,47.00,Put,0.03,0.02,0.03,+0.03,1,"5,837",87.21%,"14:00 ET"
Call,136.51,122.15,123.55,unch,0,"1,713",114.51%,08/12/25,47.50,Put,0.03,0.02,0.03,unch,0,"15,146",85.03%,09/04/25
Call,135.00,121.65,123.05,unch,0,"7,131",113.32%,08/26/25,48.00,Put,0.02,0.02,0.03,unch,0,"11,494",84.35%,08/28/25
Call,122.79,121.25,122.05,unch,0,"1,572",97.68%,09/04/25,48.50,Put,0.03,0.02,0.03,+0.03,77,"1,204",85.15%,"13:57 ET"
Call,125.43,120.70,122.05,unch,0,"2,069",112.27%,07/25/25,49.00,Put,0.03,0.02,0.03,+0.03,87,"1,562",84.48%,"13:59 ET"
Call,133.60,119.85,121.20,unch,0,"3,068",0.01%,07/31/25,49.50,Put,0.03,0.03,0.04,+0.03,8,"3,281",83.82%,"15:17 ET"
Call,120.65,119.80,120.50,+3.07,2,"8,169",93.51%,"10:45 ET",50.00,Put,0.04,0.03,0.04,unch,0,"25,617",84.42%,09/02/25
Call,130.35,119.30,120.05,unch,0,"1,381",94.92%,08/14/25,50.50,Put,0.04,0.03,0.04,unch,0,"2,357",83.76%,09/02/25
Call,115.99,118.85,119.55,unch,0,"5,436",96.05%,09/05/25,51.00,Put,0.04,0.03,0.04,+0.04,9,"2,353",84.23%,"15:16 ET"
Call,122.44,118.40,119.00,unch,0,"1,734",94.79%,07/17/25,51.50,Put,0.04,0.03,0.04,unch,0,"8,080",82.47%,08/29/25
Call,116.97,118.10,118.60,unch,0,"5,370",104.15%,09/02/25,52.00,Put,0.04,0.03,0.04,unch,0,"1,463",81.83%,09/03/25
Call,124.10,117.30,118.70,unch,0,"1,026",110.18%,07/28/25,52.50,Put,0.04,0.04,0.05,unch,0,"2,350",83.28%,09/03/25
Call,129.21,116.90,117.55,unch,0,"3,655",93.35%,08/27/25,53.00,Put,0.04,0.04,0.05,unch,0,"1,646",82.64%,09/02/25
Call,116.62,116.35,117.05,unch,0,"4,891",89.71%,09/03/25,53.50,Put,0.05,0.04,0.05,unch,0,"2,646",82.00%,09/02/25
Call,112.50,115.95,116.85,unch,0,"2,037",102.44%,09/05/25,54.00,Put,0.02,0.04,0.05,unch,0,"6,840",81.37%,08/28/25
Call,122.20,115.50,116.40,unch,0,489,103.78%,07/28/25,54.50,Put,0.05,0.04,0.05,unch,0,"2,274",80.75%,08/28/25
Call,116.03,115.15,115.65,+3.88,5,"4,598",100.33%,"10:49 ET",55.00,Put,0.05,0.04,0.05,-0.01,268,"14,700",81.02%,"10:00 ET"
Call,119.00,114.35,115.10,unch,0,537,87.25%,08/29/25,55.50,Put,0.06,0.04,0.05,unch,0,"2,569",79.52%,09/05/25
Call,112.70,113.85,115.15,unch,0,770,102.89%,09/02/25,56.00,Put,0.05,0.04,0.06,unch,0,"9,625",79.79%,09/03/25
Call,127.51,113.50,114.10,unch,0,"2,579",91.21%,08/11/25,56.50,Put,0.06,0.05,0.06,unch,0,900,79.98%,09/05/25
Call,110.85,113.05,114.25,unch,0,"10,050",106.55%,09/05/25,57.00,Put,0.10,0.05,0.06,unch,0,"1,849",79.37%,08/22/25
Call,110.25,112.30,113.35,unch,0,"2,463",90.78%,09/05/25,57.50,Put,0.10,0.05,0.06,unch,0,"8,573",78.77%,08/21/25
Call,112.38,112.05,112.65,unch,0,"1,939",91.33%,09/03/25,58.00,Put,0.06,0.05,0.06,+0.06,55,"2,382",78.91%,"10:30 ET"
Call,113.05,111.45,112.25,unch,0,"2,937",90.30%,09/04/25,58.50,Put,0.09,0.05,0.06,unch,0,"7,320",77.58%,08/27/25
Call,121.90,110.85,111.90,unch,0,"2,167",90.78%,08/07/25,59.00,Put,0.08,0.05,0.06,unch,0,"1,176",77.00%,08/26/25
Call,123.81,110.45,111.70,unch,0,608,99.03%,08/27/25,59.50,Put,0.04,0.05,0.07,unch,0,"2,411",77.14%,08/29/25
Call,109.95,110.15,110.65,+109.95,10,"7,112",90.20%,"15:24 ET",60.00,Put,0.07,0.06,0.07,unch,0,"23,132",77.23%,09/05/25
Call,110.30,109.40,110.65,unch,0,987,95.16%,09/02/25,60.50,Put,0.06,0.06,0.07,unch,0,867,76.65%,08/28/25
Call,117.92,108.95,110.30,unch,0,"2,333",98.05%,08/22/25,61.00,Put,0.07,0.06,0.07,unch,0,"1,196",76.07%,09/03/25
Call,107.65,108.45,109.70,unch,0,"1,123",95.29%,09/02/25,61.50,Put,0.12,0.06,0.07,unch,0,"2,829",75.50%,08/26/25
Call,105.27,108.05,108.85,unch,0,856,88.96%,09/05/25,62.00,Put,0.08,0.06,0.07,unch,0,"3,068",74.93%,09/05/25
Call,118.40,107.30,108.45,unch,0,"1,434",83.82%,08/13/25,62.50,Put,0.06,0.06,0.07,unch,0,"3,035",74.37%,09/03/25
Call,116.84,107.15,108.40,unch,0,904,99.24%,08/06/25,63.00,Put,0.08,0.07,0.08,+0.08,2,"1,033",75.56%,"14:13 ET"
Call,0.00,106.50,107.95,unch,0,824,96.84%,N/A,63.50,Put,0.07,0.07,0.08,unch,0,"9,204",74.44%,09/03/25
Call,106.80,106.00,106.75,+3.85,2,"2,919",80.88%,"12:41 ET",64.00,Put,0.07,0.07,0.08,unch,0,"16,298",73.89%,09/03/25
Call,105.80,105.10,106.25,unch,0,"1,137",0.01%,09/02/25,64.50,Put,0.20,0.07,0.08,unch,0,638,73.33%,08/20/25
Call,100.70,105.05,105.90,unch,0,"3,255",84.66%,09/05/25,65.00,Put,0.10,0.08,0.09,unch,0,"7,608",73.84%,09/05/25
Call,102.45,104.60,105.25,unch,0,371,81.11%,09/05/25,65.50,Put,0.10,0.08,0.09,unch,0,628,73.29%,09/05/25
Call,102.02,103.65,105.00,unch,0,"1,154",72.76%,09/05/25,66.00,Put,0.13,0.08,0.09,unch,0,"3,488",72.74%,08/27/25
Call,99.91,103.50,104.30,unch,0,450,77.71%,09/05/25,66.50,Put,0.11,0.08,0.09,unch,0,438,72.20%,09/05/25
Call,99.48,103.05,104.00,unch,0,526,83.45%,09/05/25,67.00,Put,0.09,0.08,0.09,unch,0,"3,165",71.66%,09/03/25
Call,104.19,102.70,103.25,unch,0,514,80.20%,09/04/25,67.50,Put,0.12,0.09,0.10,unch,0,548,72.06%,09/02/25
Call,103.77,102.35,102.80,unch,0,"9,732",83.84%,09/04/25,68.00,Put,0.11,0.09,0.10,unch,0,"2,482",71.53%,09/02/25
Call,103.36,101.60,102.25,unch,0,412,75.59%,09/04/25,68.50,Put,0.10,0.09,0.10,unch,0,836,70.99%,09/03/25
Call,103.10,101.05,101.85,unch,0,"1,268",76.19%,09/04/25,69.00,Put,0.10,0.09,0.10,unch,0,"1,575",70.46%,09/04/25
Call,103.00,100.70,101.30,unch,0,"2,112",77.98%,09/04/25,69.50,Put,0.19,0.09,0.11,unch,0,"1,205",70.37%,08/22/25
Call,100.85,100.10,101.50,+2.85,245,"6,235",89.49%,"15:40 ET",70.00,Put,0.13,0.10,0.11,unch,0,"17,347",70.26%,09/05/25
Call,101.50,99.80,100.35,unch,0,"1,070",79.68%,09/04/25,70.50,Put,0.10,0.10,0.11,unch,0,"3,313",69.73%,08/29/25
Call,96.88,99.00,99.85,unch,0,"1,478",70.99%,09/05/25,71.00,Put,0.10,0.10,0.11,unch,0,"1,800",69.21%,09/03/25
Call,95.85,98.30,98.90,unch,0,"1,242",78.26%,09/05/25,72.00,Put,0.11,0.11,0.12,unch,0,"3,531",68.95%,09/02/25
Call,95.23,97.35,97.90,unch,0,"4,203",77.64%,09/05/25,73.00,Put,0.13,0.11,0.13,unch,0,"1,375",68.29%,09/02/25
Call,94.02,96.45,97.30,unch,0,"1,277",83.90%,09/05/25,74.00,Put,0.14,0.12,0.13,unch,0,947,67.62%,09/02/25
Call,95.81,95.45,96.25,+2.76,1,"3,256",80.61%,"14:26 ET",75.00,Put,0.13,0.13,0.14,-0.03,1,"7,474",66.94%,"13:56 ET"
Call,91.16,94.50,95.65,unch,0,"1,758",85.64%,09/05/25,76.00,Put,0.14,0.13,0.15,unch,0,671,66.57%,09/02/25
